FacilityID,Bays,Floodlit,Holes,Length
"2100270","","","9","1371.6"
"2100272","","","18","5822.9"
"2100273","","","18","5951.83"
"2100274","","","18","5682.08"
"2100275","","","18","5835.7"
"2100276","","","18","6357.82"
"2100277","","","18","5467.2"
"2100279","","","9","1243.58"
"2100282","","","9","1817.83"
"2100284","","","9","804.67"
"2100285","","","18","5806.44"
"2100286","","","9","2599.64"
"2100287","","","18","5333.7"
"2100288","","","9","1652"
"2100289","","","9","1470.36"
"2100290","","","9","594.36"
"2100291","","","18","5941.77"
"2100292","","","18","6046.01"
"2100296","44","1","","219.46"
"2100297","","","18","6049.67"
"2100298","","","18","5940.86"
"2100300","","","18","5807.35"
"2100301","","","9","967.44"
"2100302","","","18","5799.12"
"2100303","","","18","5577.84"
"2100304","","","9","2300.63"
"2100305","","","18","5919.83"
"2100307","","","9","2651.76"
"2100309","","","18","5737.86"
"2100310","","","18","5652.82"
"2100311","","","18","6072.53"
"2100313","","","9","2678.28"
"2100314","20","1","","274.32"
"2100315","","","18","5908.85"
"2100316","","","18","6057.9"
"2100317","","","18","6365.14"
"2100319","","","18","5944.51"
"2100321","","","18","5819.24"
"2100322","20","1","","246.89"
"2100323","","","18","5708.6"
"2100324","","","18","5704.94"
"2100325","","","18","6091.73"
"2100326","26","1","","228.6"
"2100328","","","18","5920.74"
"2100330","","","18","5698.54"
"2100331","","","18","5683.91"
"2100334","","","18","5787.24"
"2100335","","","18","5943.6"
"2100337","","","18","5741.52"
"2100338","12","1","","274.32"
"2100339","","","18","5380.33"
"2100342","","","9","1696.21"
"2100345","","","18","5751.58"
"2100347","","","18","6078.93"
"2100348","","","18","5770.78"
"2100349","","","18","5862.22"
"2100350","","","9","2637.13"
"2100352","16","0","","299.92"
"2100353","","","9","956.46"
"2100354","","","18","5486.4"
"2100356","","","18","5892.39"
"2100357","","","18","5682.08"
"2100358","","","9","2743.2"
"2100359","","","18","5505.6"
"2100360","","","18","5936.28"
"2100362","15","0","","301.75"
"2100364","","","18","6328.56"
"2100365","","","18","4633.26"
"2100366","","","18","5046.57"
"2100369","","","18","5735.12"
"2100370","","","18","5616.24"
"2100371","","","9","3249.78"
"2100372","","","18","5584.24"
"2100373","","","18","4414.72"
"2100375","","","18","5882.34"
"2100376","16","1","","297.18"
"2100377","","","18","6069.79"
"2100378","","","18","5626.3"
"2100379","27","1","","274.32"
"2100380","","","9","2891.33"
"2100381","","","9","2375.61"
"2100384","","","18","5967.37"
"2100385","","","18","5994.81"
"2100387","","","18","5875.93"
"2100388","","","9","2836.47"
"2100389","","","9","1097.28"
"2100390","","","18","6101.79"
"2100391","","","18","5864.05"
"2100392","","","11","2091.23"
"2100393","","","18","5986.58"
"2100394","","","18","5703.11"
"2100395","","","18","4834.43"
"2100398","","","9","2661.82"
